WKT,KALIMANTAN BARAT,-0.13224,111.09689
"POINT (113.29033 -1.49958)",KALIMANTAN TENGAH,-1.49958,113.29033
"POINT (115.37565 -2.94348)",KALIMANTAN SELATAN,-2.94348,115.37565
"POINT (116.242 0.78844)",KALIMANTAN TIMUR,0.78844,116.242
"POINT (116.911 2.72594)",KALIMANTAN UTARA,2.72594,116.911
